"Species","Genus","Family","species.relative","genus.relative"
"Miconia MCM810","Miconia","Melastomataceae",,
"Inga bourgonii","Inga","Fabaceae",,
"Sloanea MCM239","Sloanea","Elaeocarpaceae",,
"Inga cylindrica","Inga","Fabaceae",,
"Elaeagia mariae","Elaeagia","Rubiaceae",,
"Cavendishia martii","Cavendishia","Ericaceae",,
"Clethra cuneata","Clethra","Clethraceae",,
"Meliosma herbertii","Meliosma","Sabiaceae",,
"Meriania AF16998","Meriania","Melastomataceae",,
"Freziera dudleyi","Freziera","Pentaphylacaceae",,
"Acalypha cuneata","Acalypha","Euphorbiaceae",,
"Allophylus petiolulatus","Allophylus","Sapindaceae",,
"Pseudolmedia laevis","Pseudolmedia","Moraceae",,
"Casearia sylvestris","Casearia","Salicaceae",,
"Genipa americana","Genipa","Rubiaceae",,
"Weinmannia fagaroides","Weinmannia","Cunoniaceae",,
"Alsophila erinacea","Alsophila","Cyatheaceae",,
"Miconia brittonii","Miconia","Melastomataceae",,
"Cecropia GAT3065","Cecropia","Urticaceae",,
"Psychotria ILR1296","Psychotria","Rubiaceae",,
"Piper tucumanum","Piper","Piperaceae",,
"Astronium graveolens","Astronium","Anacardiaceae",,
"Cariniana domestica","Cariniana","Lecythidaceae",,
"Lacistema aggregatum","Lacistema","Lacistemataceae",,
"Faramea candelabrum","Faramea","Rubiaceae",,
"Psychotria trivialis","Psychotria","Rubiaceae",,
"Miconia bangii","Miconia","Melastomataceae",,
"Persea AF15646","Persea","Lauraceae",,
"Weinmannia crassifolia","Weinmannia","Cunoniaceae",,
"Aniba muca","Aniba","Lauraceae",,
"Psychotria AM254","Psychotria","Rubiaceae",,
"Capparidastrum coimbranum","Capparidastrum","Capparaceae",,
"Urera lianoides","Urera","Urticaceae",,
"Pilocarpus peruvianus","Pilocarpus","Rutaceae",,
"Maytenus floribunda","Maytenus","Celastraceae",,
"Ximenia americana","Ximenia","Olacaceae",,
"Machaerium nyctitans","Machaerium","Fabaceae",,
"Almeidea rubra","Almeidea","Rutaceae",,
"Schizocalyx MJM5234","Schizocalyx","Rubiaceae",,
"Rinorea viridifolia","Rinorea","Violaceae",,
"Myrcia guianensis","Myrcia","Myrtaceae",,
"Mollinedia repanda","Mollinedia","Monimiaceae",,
"Psychotria AF14766","Psychotria","Rubiaceae",,
"Psychotria carthagenensis","Psychotria","Rubiaceae",,
"Coffea arabica","Coffea","Rubiaceae",,
"Clusia elongata","Clusia","Clusiaceae",,
"Piper percostatum","Piper","Piperaceae",,
"Tapirira guianensis","Tapirira","Anacardiaceae",,
"Didymopanax AF17370","Didymopanax","Araliaceae",,
"Garcinia gardneriana","Garcinia","Clusiaceae",,
"Saracha punctata","Saracha","Solanaceae",,
"Oreopanax ruizii","Oreopanax","Araliaceae",,
"Cinnamomum AM3551","Cinnamomum","Lauraceae",,
"Clusia ILR1843","Clusia","Clusiaceae",,
"Clethra peruviana","Clethra","Clethraceae",,
"Protium altissimum","Protium","Burseraceae",,
"Quararibea wittii","Quararibea","Malvaceae",,
"Guarea macrophylla","Guarea","Meliaceae",,
"Myrciaria floribunda","Myrciaria","Myrtaceae",,
"Myrcia subglabra","Myrcia","Myrtaceae",,
"Eugenia florida","Eugenia","Myrtaceae",,
"Eugenia sericea","Eugenia","Myrtaceae",,
"Chrysophyllum argenteum","Chrysophyllum","Sapotaceae",,
"Ampelocera ruizii","Ampelocera","Ulmaceae",,
"Dalbergia MJM5366","Dalbergia","Fabaceae",,
"Alchornea triplinervia","Alchornea","Euphorbiaceae",,
"Roucheria laxiflora","Roucheria","Linaceae",,
"Inga LC4645","Inga","Fabaceae",,
"Symplocos debilis","Symplocos","Symplocaceae",,
"Serjania lethalis","Serjania","Sapindaceae",,
"Ormosia MCM28","Ormosia","Fabaceae",,
"Myrcia fallax","Myrcia","Myrtaceae",,
"Pouteria bilocularis","Pouteria","Sapotaceae",,
"Hymenopus krukovii","Hymenopus","Chrysobalanaceae",,
"Styloceras brokawii","Styloceras","Buxaceae",,
"Lunania parviflora","Lunania","Salicaceae",,
"Moquilea brittoniana","Moquilea","Chrysobalanaceae",,
"Fridericia pearcei","Fridericia","Bignoniaceae",,
"Prunus huantensis","Prunus","Rosaceae",,
"Myrsine dependens","Myrsine","Primulaceae",,
"Ficus maxima","Ficus","Moraceae",,
"Tachigali poeppigiana","Tachigali","Fabaceae",,
"Nectandra sp14","Nectandra","Lauraceae",,
"Weinmannia reticulata","Weinmannia","Cunoniaceae",,
"Cyathea sp26","Cyathea","Cyatheaceae",,
"Cyathea lechleri","Cyathea","Cyatheaceae",,
"Guatteria punctata","Guatteria","Annonaceae",,
"Guarea kunthiana","Guarea","Meliaceae",,
"Cyathea sp13","Cyathea","Cyatheaceae",,
"Coussarea brevicaulis","Coussarea","Rubiaceae",,
"Miconia setulosa","Miconia","Melastomataceae",,
"Miconia media","Miconia","Melastomataceae",,
"Clethra sp1","Clethra","Clethraceae",,
"Hedyosmum goudotianum","Hedyosmum","Chloranthaceae",,
"Ceiba speciosa","Ceiba","Malvaceae",,
"Zanthoxylum tambopatense","Zanthoxylum","Rutaceae",,
"Nectandra cissiflora","Nectandra","Lauraceae",,
"Podocarpus oleifolius","Podocarpus","Podocarpaceae",,
"Brosimum lactescens","Brosimum","Moraceae",,
"Doliocarpus novogranatensis","Doliocarpus","Dilleniaceae",,
"Aspidosperma parvifolium","Aspidosperma","Apocynaceae",,
"Inga edulis","Inga","Fabaceae",,
"Bathysa australis","Bathysa","Rubiaceae",,
"Nectandra NCH72","Nectandra","Lauraceae",,
"Sloanea pubescens","Sloanea","Elaeocarpaceae",,
"Miconia dolichorrhyncha","Miconia","Melastomataceae",,
"Ferdinandusa chlorantha","Ferdinandusa","Rubiaceae",,
"Ficus americana","Ficus","Moraceae",,
"Agonandra excelsa","Agonandra","Opiliaceae",,
"Trichilia catigua","Trichilia","Meliaceae",,
"Trichilia elegans","Trichilia","Meliaceae",,
"Sorocea guilleminiana","Sorocea","Moraceae",,
"Mauria heterophylla","Mauria","Anacardiaceae",,
"Machaerium millei","Machaerium","Fabaceae",,
"Miconia boliviensis","Miconia","Melastomataceae",,
"Miconia LC3463","Miconia","Melastomataceae",,
"Beilschmiedia tovarensis","Beilschmiedia","Lauraceae",,
"Pourouma minor","Pourouma","Urticaceae",,
"Clusia AF14913","Clusia","Clusiaceae",,
"Hedyosmum lechleri","Hedyosmum","Chloranthaceae",,
"Hieronyma alchorneoides","Hieronyma","Phyllanthaceae",,
"Clusia multiflora","Clusia","Clusiaceae",,
"Amburana cearensis","Amburana","Fabaceae",,
"Apuleia leiocarpa","Apuleia","Fabaceae",,
"Petrea maynensis","Petrea","Verbenaceae",,
"Socratea exorrhiza","Socratea","Arecaceae",,
"Cordia nodosa","Cordia","Boraginaceae",,
"Chrysochlamys macrophylla","Chrysochlamys","Clusiaceae",,
"Protium unifoliolatum","Protium","Burseraceae",,
"Protium rhynchophyllum","Protium","Burseraceae",,
"Fridericia schumanniana","Fridericia","Bignoniaceae",,
"Protium montanum","Protium","Burseraceae",,
"Phyllostylon rhamnoides","Phyllostylon","Ulmaceae",,
"Miconia polygama","Miconia","Melastomataceae",,
"Sarcaulus ETP181","Sarcaulus","Sapotaceae",,
"Siphoneugena occidentalis","Siphoneugena","Myrtaceae",,
"Myrsine DAR264","Myrsine","Primulaceae",,
"Erythroxylum subrotundum","Erythroxylum","Erythroxylaceae",,
"Schaefferia argentinensis","Schaefferia","Celastraceae",,
"Astrocasia jacobinensis","Astrocasia","Phyllanthaceae",,
"Chamaedorea angustisecta","Chamaedorea","Arecaceae",,
"Pouteria hispida","Pouteria","Sapotaceae",,
"Miconia GAT2279","Miconia","Melastomataceae",,
"Piper LC2689","Piper","Piperaceae",,
"Myrcia mollis","Myrcia","Myrtaceae",,
"Miconia GAT860","Miconia","Melastomataceae",,
"Amaioua guianensis","Amaioua","Rubiaceae",,
"Siparuna guianensis","Siparuna","Siparunaceae",,
"Miconia micropetala","Miconia","Melastomataceae",,
"Polyclita turbinata","Polyclita","Ericaceae",,
"Weinmannia parvifolia","Weinmannia","Cunoniaceae",,
"Cyathea squamipes","Cyathea","Cyatheaceae",,
"Symplocos GAT2760","Symplocos","Symplocaceae",,
"Nectandra CMG2353","Nectandra","Lauraceae",,
"Cestrum LC3589","Cestrum","Solanaceae",,
"Gaultheria reticulata","Gaultheria","Ericaceae",,
"Myrcia paivae","Myrcia","Myrtaceae",,
"Swartzia CMG2219","Swartzia","Fabaceae",,
"Aparisthmium cordatum","Aparisthmium","Euphorbiaceae",,
"Pseudolmedia rigida","Pseudolmedia","Moraceae",,
"Miconia punctata","Miconia","Melastomataceae",,
"Otoba glycycarpa","Otoba","Myristicaceae",,
"Symphonia globulifera","Symphonia","Clusiaceae",,
"Virola AEC312","Virola","Myristicaceae",,
"Besleria LC2594","Besleria","Gesneriaceae",,
"Bignonia nocturna","Bignonia","Bignoniaceae",,
"Talisia LC1776","Talisia","Sapindaceae",,
"Trigonia boliviana","Trigonia","Trigoniaceae",,
"Clethra cardenasii","Clethra","Clethraceae",,
"Nectandra acutifolia","Nectandra","Lauraceae",,
"Lonchocarpus ALM115","Lonchocarpus","Fabaceae",,
"Salacia macrantha","Salacia","Celastraceae",,
"Thinouia compressa","Thinouia","Sapindaceae",,
"Guarea PCL99","Guarea","Meliaceae",,
"Ilex sessiliflora","Ilex","Aquifoliaceae",,
"Psychotria GAT1163","Psychotria","Rubiaceae",,
"Piper bolivianum","Piper","Piperaceae",,
"Miconia AF17614A","Miconia","Melastomataceae",,
"Piper mercens","Piper","Piperaceae",,
"Sciodaphyllum AF11185","Sciodaphyllum","Araliaceae",,
"Dussia tessmannii","Dussia","Fabaceae",,
"Picramnia spruceana","Picramnia","Picramniaceae",,
"Ocotea olivacea","Ocotea","Lauraceae",,
"Sapium marmieri","Sapium","Euphorbiaceae",,
"Cybianthus lepidotus","Cybianthus","Primulaceae",,
"Ilex petiolaris","Ilex","Aquifoliaceae",,
"Axinaea glandulosa","Axinaea","Melastomataceae",,
"Hedyosmum dombeyanum","Hedyosmum","Chloranthaceae",,
"Siphocampylus orbignianus","Siphocampylus","Campanulaceae",,
"Eugenia ligustrina","Eugenia","Myrtaceae",,
"Luetzelburgia andina","Luetzelburgia","Fabaceae",,
"Poulsenia armata","Poulsenia","Moraceae",,
"Ocotea albida","Ocotea","Lauraceae",,
"Psychotria reticulata","Psychotria","Rubiaceae",,
"Miconia ECQ22","Miconia","Melastomataceae",,
"Eugenia egensis","Eugenia","Myrtaceae",,
"Bauhinia tuichiensis","Bauhinia","Fabaceae",,
"Leonia glycycarpa","Leonia","Violaceae",,
"Solanum daphnophyllum","Solanum","Solanaceae",,
"Diplotropis MJM6290","Diplotropis","Fabaceae",,
"Ladenbergia oblongifolia","Ladenbergia","Rubiaceae",,
"Nectandra megapotamica","Nectandra","Lauraceae",,
"Piper secundum","Piper","Piperaceae",,
"Psychotria GAT2869","Psychotria","Rubiaceae",,
"Piper bangii","Piper","Piperaceae",,
"Saurauia glabra","Saurauia","Actinidiaceae",,
"Critoniopsis boliviana","Critoniopsis","Asteraceae",,
"Erisma NCH237","Erisma","Vochysiaceae",,
"Dalbergia spruceana","Dalbergia","Fabaceae",,
"Garcinia macrophylla","Garcinia","Clusiaceae",,
"Miconia AF7149","Miconia","Melastomataceae",,
"Psychotria GAT1333","Psychotria","Rubiaceae",,
"Clusia AF17295","Clusia","Clusiaceae",,
"Coccoloba mollis","Coccoloba","Polygonaceae",,
"Ixora brevifolia","Ixora","Rubiaceae",,
"Hymenaea courbaril","Hymenaea","Fabaceae",,
"Clusia trochiformis","Clusia","Clusiaceae",,
"Styloceras columnare","Styloceras","Buxaceae",,
"Cupania CMG2731","Cupania","Sapindaceae",,
"Gordonia fruticosa","Gordonia","Theaceae",,
"Weinmannia pinnata","Weinmannia","Cunoniaceae",,
"Agonandra peruviana","Agonandra","Opiliaceae",,
"Siparuna bifida","Siparuna","Siparunaceae",,
"Croizatia AF10941","Croizatia","Phyllanthaceae",,
"Coussarea boliviensis","Coussarea","Rubiaceae",,
"Myrcia splendens","Myrcia","Myrtaceae",,
"Trichilia inaequilatera","Trichilia","Meliaceae",,
"Licania kunthiana","Licania","Chrysobalanaceae",,
"Palicourea tristis","Palicourea","Rubiaceae",,
"Clusia pachamamae","Clusia","Clusiaceae",,
"Pleurothyrium LC4542","Pleurothyrium","Lauraceae",,
"Orthomene schomburgkii","Orthomene","Menispermaceae",,
"Inga thibaudiana","Inga","Fabaceae",,
"Tachigali AF18416","Tachigali","Fabaceae",,
"Perebea angustifolia","Perebea","Moraceae",,
"Ixora peruviana","Ixora","Rubiaceae",,
"Gynoxys pillahuatensis","Gynoxys","Asteraceae",,
"Miconia alpina","Miconia","Melastomataceae",,
"Cecropia sp3","Cecropia","Urticaceae",,
"Weinmannia bangii","Weinmannia","Cunoniaceae",,
"Pourouma mollis","Pourouma","Urticaceae",,
"Pouteria simulans","Pouteria","Sapotaceae",,
"Mollinedia lanceolata","Mollinedia","Monimiaceae",,
"Cyathea sp18","Cyathea","Cyatheaceae",,
"Dendropanax arboreus","Dendropanax","Araliaceae",,
"Miconia crassistigma","Miconia","Melastomataceae",,
"Miconia brevistylis","Miconia","Melastomataceae",,
"Prunus pleiantha","Prunus","Rosaceae",,
"Cyathea delgadii","Cyathea","Cyatheaceae",,
"Cyathea sp8","Cyathea","Cyatheaceae",,
"Cyathea sp3","Cyathea","Cyatheaceae",,
"Cyathea caracasana","Cyathea","Cyatheaceae",,
"Eugenia sp4","Eugenia","Myrtaceae",,
"Turpinia occidentalis","Turpinia","Staphyleaceae",,
"Miconia cretacea","Miconia","Melastomataceae",,
"Coussarea ecuadorensis","Coussarea","Rubiaceae",,
"Trophis caucana","Trophis","Moraceae",,
"Miconia dolicorrhyncha","Miconia","Melastomataceae",,
"Nectandra sp78","Nectandra","Lauraceae",,
"Weinmannia mariquitae","Weinmannia","Cunoniaceae",,
"Alzatea verticillata","Alzatea","Alzateaceae",,
"Symplocos nana","Symplocos","Symplocaceae",,
"Psychotria conephoroides","Psychotria","Rubiaceae",,
"Clusia alata","Clusia","Clusiaceae",,
"Piper sp4","Piper","Piperaceae",,
"Ilex villosula","Ilex","Aquifoliaceae",,
"Prunus integrifolia","Prunus","Rosaceae",,
"Blakea multiflora","Blakea","Melastomataceae",,
"Ocotea floribunda","Ocotea","Lauraceae",,
"Nectandra pulverulenta","Nectandra","Lauraceae",,
"Clarisia biflora","Clarisia","Moraceae",,
"Attalea phalerata","Attalea","Arecaceae",,
"Endlicheria paniculata","Endlicheria","Lauraceae",,
"Licania boliviensis","Licania","Chrysobalanaceae",,
"Achatocarpus praecox","Achatocarpus","Achatocarpaceae",,
"Anadenanthera colubrina","Anadenanthera","Fabaceae",,
"Coussapoa manuensis","Coussapoa","Urticaceae",,
"Miconia AF14626","Miconia","Melastomataceae",,
"Sarcaulus brasiliensis","Sarcaulus","Sapotaceae",,
"Myrocarpus venezuelensis","Myrocarpus","Fabaceae",,
"Hieronyma GAT658","Hieronyma","Phyllanthaceae",,
"Weinmannia sorbifolia","Weinmannia","Cunoniaceae",,
"Vismia rusbyi","Vismia","Hypericaceae",,
"Croizatia NCH25","Croizatia","Phyllanthaceae",,
"Hirtella bullata","Hirtella","Chrysobalanaceae",,
"Eugenia tapacumensis","Eugenia","Myrtaceae",,
"Desfontainia spinosa","Desfontainia","Columelliaceae",,
"Inga alba","Inga","Fabaceae",,
"Ardisia guianensis","Ardisia","Primulaceae",,
"Sebastiania brasiliensis","Sebastiania","Euphorbiaceae",,
"Machaerium latifolium","Machaerium","Fabaceae",,
"Actinostemon schomburgkii","Actinostemon","Euphorbiaceae",,
"Cynophalla polyantha","Cynophalla","Capparaceae",,
"Rudgea tomentosa","Rudgea","Rubiaceae",,
"Piper crassinervium","Piper","Piperaceae",,
"Oreopanax steinbachianus","Oreopanax","Araliaceae",,
"Maprounea guianensis","Maprounea","Euphorbiaceae",,
"Sarcopera oxystylis","Sarcopera","Marcgraviaceae",,
"Myrsine andina","Myrsine","Primulaceae",,
"Symplocos fimbriata","Symplocos","Symplocaceae",,
"Ilex LC3526","Ilex","Aquifoliaceae",,
"Coccoloba AM2159","Coccoloba","Polygonaceae",,
"Clethra scabra","Clethra","Clethraceae",,
"Weinmannia LC3488B","Weinmannia","Cunoniaceae",,
"Miconia dodecandra","Miconia","Melastomataceae",,
"Guatteria ucayalina","Guatteria","Annonaceae",,
"Miconia AF17127","Miconia","Melastomataceae",,
"Clusia ducu","Clusia","Clusiaceae",,
"Pogonopus tubulosus","Pogonopus","Rubiaceae",,
"Chrysophyllum gonocarpum","Chrysophyllum","Sapotaceae",,
"Miconia tomentosa","Miconia","Melastomataceae",,
"Bignonia hyacinthina","Bignonia","Bignoniaceae",,
"Palicourea conephoroides","Palicourea","Rubiaceae",,
"Freziera apolobambensis","Freziera","Pentaphylacaceae",,
"Eugenia heterochroma","Eugenia","Myrtaceae",,
"Miconia theaezans","Miconia","Melastomataceae",,
"Ocotea comata","Ocotea","Lauraceae",,
"Psammisia coarctata","Psammisia","Ericaceae",,
"Cremastosperma leiophyllum","Cremastosperma","Annonaceae",,
"Croton beetlei","Croton","Euphorbiaceae",,
"Amyris VTF36","Amyris","Rutaceae",,
"Manihot DC99","Manihot","Euphorbiaceae",,
"Zygia latifolia","Zygia","Fabaceae",,
"Neea AF11395","Neea","Nyctaginaceae",,
"Psychotria GAT2318","Psychotria","Rubiaceae",,
"Solanum ochrophyllum","Solanum","Solanaceae",,
"Dalbergia frutescens","Dalbergia","Fabaceae",,
"Miconia lilacina","Miconia","Melastomataceae",,
"Bignonia uleana","Bignonia","Bignoniaceae",,
"Senegalia riparia","Senegalia","Fabaceae",,
"Parapiptadenia excelsa","Parapiptadenia","Fabaceae",,
"Chrysophyllum LC1660","Chrysophyllum","Sapotaceae",,
"Forsteronia pubescens","Forsteronia","Apocynaceae",,
"Eschweilera coriacea","Eschweilera","Lecythidaceae",,
"Amphilophium mansoanum","Amphilophium","Bignoniaceae",,
"Miconia multispicata","Miconia","Melastomataceae",,
"Chomelia tenuiflora","Chomelia","Rubiaceae",,
"Protium spruceanum","Protium","Burseraceae",,
"Endlicheria formosa","Endlicheria","Lauraceae",,
"Saurauia LC2601","Saurauia","Actinidiaceae",,
"Eugenia uniflora","Eugenia","Myrtaceae",,
"Cybianthus guyanensis","Cybianthus","Primulaceae",,
"Tetrapterys styloptera","Tetrapterys","Malpighiaceae",,
"Trichilia pallida","Trichilia","Meliaceae",,
"Celtis iguanaea","Celtis","Cannabaceae",,
"Meliosma petalodentata","Meliosma","Sabiaceae",,
"Urera caracasana","Urera","Urticaceae",,
"Morella pubescens","Morella","Myricaceae",,
"Alchornea grandiflora","Alchornea","Euphorbiaceae",,
"Metrodorea flavida","Metrodorea","Rutaceae",,
"Sloanea fendleriana","Sloanea","Elaeocarpaceae",,
"Combretum fruticosum","Combretum","Combretaceae",,
"Hasseltia floribunda","Hasseltia","Salicaceae",,
"Adenocalymma impressum","Adenocalymma","Bignoniaceae",,
"Pouteria MJM5161","Pouteria","Sapotaceae",,
"Pseudobombax septenatum","Pseudobombax","Malvaceae",,
"Fridericia patellifera","Fridericia","Bignoniaceae",,
"Coussarea rudgeoides","Coussarea","Rubiaceae",,
"Machaerium GAT1801","Machaerium","Fabaceae",,
"Himatanthus articulatus","Himatanthus","Apocynaceae",,
"Oreopanax rusbyi","Oreopanax","Araliaceae",,
"Preslianthus pittieri","Preslianthus","Capparaceae",,
"Hieronyma sp3","Hieronyma","Phyllanthaceae",,
"Weinmannia cochensis","Weinmannia","Cunoniaceae",,
"Cyathea divergens","Cyathea","Cyatheaceae",,
"Cyathea carolihenrici","Cyathea","Cyatheaceae",,
"Clusia thurifera","Clusia","Clusiaceae",,
"Oreopanax capitatus","Oreopanax","Araliaceae",,
"Clusia sp6","Clusia","Clusiaceae",,
"Graffenrieda cucullata","Graffenrieda","Melastomataceae",,
"Bejaria aestuans","Bejaria","Ericaceae",,
"Senefeldera inclinata","Senefeldera","Euphorbiaceae",,
"Pleurothyrium sp2","Pleurothyrium","Lauraceae",,
"Klarobelia napoensis","Klarobelia","Annonaceae",,
"Miconia sp5","Miconia","Melastomataceae",,
"Miconia sp48","Miconia","Melastomataceae",,
"Ficus trigona","Ficus","Moraceae",,
"Miconia sp50","Miconia","Melastomataceae",,
"Maytenus verticillata","Maytenus","Celastraceae",,
"Cavendishia bracteata","Cavendishia","Ericaceae",,
"Ilex sp11","Ilex","Aquifoliaceae",,
"Symplocos psiloclada","Symplocos","Symplocaceae",,
"Miconia sp63","Miconia","Melastomataceae",,
"Clusia sp1","Clusia","Clusiaceae",,
"Dolichandra unguis-cati","Dolichandra","Bignoniaceae",,
"Sloanea fragrans","Sloanea","Elaeocarpaceae",,
"Ternstroemia subserrata","Ternstroemia","Pentaphylacaceae",,
"Weinmannia haenkeana","Weinmannia","Cunoniaceae",,
"Mollinedia ovata","Mollinedia","Monimiaceae",,
"Cinchona pubescens","Cinchona","Rubiaceae",,
"Myrsine pellucida","Myrsine","Primulaceae",,
"Dicksonia sellowiana","Dicksonia","Dicksoniaceae",,
"Cecropia angustifolia","Cecropia","Urticaceae",,
"Xylopia peruviana","Xylopia","Annonaceae",,
"Virola sebifera","Virola","Myristicaceae",,
"Oenocarpus bataua","Oenocarpus","Arecaceae",,
"Bertholletia excelsa","Bertholletia","Lecythidaceae",,
"Platymiscium pinnatum","Platymiscium","Fabaceae",,
"Ruprechtia laxiflora","Ruprechtia","Polygonaceae",,
"Hevea guianensis","Hevea","Euphorbiaceae",,
"Ocotea puberula","Ocotea","Lauraceae",,
"Helicostylis tomentosa","Helicostylis","Moraceae",,
"Miconia poeppigii","Miconia","Melastomataceae",,
"Nectandra JCS9565","Nectandra","Lauraceae",,
"Hyptidendron arboreum","Hyptidendron","Lamiaceae",,
"Casearia LC386","Casearia","Salicaceae",,
"Myracrodruon urundeuva","Myracrodruon","Anacardiaceae",,
"Myrcianthes mato","Myrcianthes","Myrtaceae",,
"Ocotea ETP63","Ocotea","Lauraceae",,
"Aspidosperma rigidum","Aspidosperma","Apocynaceae",,
"Cryptocarya RS7155","Cryptocarya","Lauraceae",,
"Triplaris efistulifera","Triplaris","Polygonaceae",,
"Ocotea oblonga","Ocotea","Lauraceae",,
"Ocotea ALM253","Ocotea","Lauraceae",,
"Nectandra AF7278","Nectandra","Lauraceae",,
"Eriotheca macrophylla","Eriotheca","Malvaceae",,
"Graffenrieda FB64","Graffenrieda","Melastomataceae",,
"Persea pseudofasciculata","Persea","Lauraceae",,
"Hedyosmum angustifolium","Hedyosmum","Chloranthaceae",,
"Didymopanax vinosus","Didymopanax","Araliaceae",,
"Ocotea LC3806","Ocotea","Lauraceae",,
"Helicostylis tovarensis","Helicostylis","Moraceae",,
"Persea AF12248","Persea","Lauraceae",,
"Cinchona calisaya","Cinchona","Rubiaceae",,
"Sciodaphyllum herzogii","Sciodaphyllum","Araliaceae",,
"Miconia incachacana","Miconia","Melastomataceae",,
"Cyathea leucolepismata","Cyathea","Cyatheaceae",,
"Aspidosperma macrocarpon","Aspidosperma","Apocynaceae",,
"Ocotea bofo","Ocotea","Lauraceae",,
"Celtis loxensis","Celtis","Cannabaceae",,
"Neea hermaphrodita","Neea","Nyctaginaceae",,
"Niedenzuella acutifolia","Niedenzuella","Malpighiaceae",,
"Batocarpus costaricensis","Batocarpus","Moraceae",,
"Bignonia bracteomana","Bignonia","Bignoniaceae",,
"Pouteria torta","Pouteria","Sapotaceae",,
"Pentaplaris davidsmithii","Pentaplaris","Malvaceae",,
"Nectandra cuneatocordata","Nectandra","Lauraceae",,
"Maclura brasiliensis","Maclura","Moraceae",,
"Senegalia parviceps","Senegalia","Fabaceae",,
"Pimenta pseudocaryophyllus","Pimenta","Myrtaceae",,
"Maytenus conferta","Maytenus","Celastraceae",,
"Bougainvillea modesta","Bougainvillea","Nyctaginaceae",,
"Salacia cordata","Salacia","Celastraceae",,
"Geonoma orbignyana","Geonoma","Arecaceae",,
"Casearia gossypiosperma","Casearia","Salicaceae",,
"Uncaria tomentosa","Uncaria","Rubiaceae",,
